%
% index = 3615, name = bbob_f006_i02_d20__bbob_f013_i04_d20
% instance = 1, reference value = 7.712342696939430e-01
% function evaluation | indicator value | target hit
1	1.313020293324930e+02	1.318256738556407e+02
2	1.210775835171010e+02	1.230268770812381e+02
9	1.045527546152401e+02	1.047128548050900e+02
11	9.442263236527056e+01	9.549925860214358e+01
24	7.365648530335231e+01	7.413102413009177e+01
32	7.142142313452258e+01	7.244359600749902e+01
33	4.161056640362433e+01	4.168693834703355e+01
43	2.521117773795480e+01	2.570395782768863e+01
62	1.444514175236812e+01	1.445439770745927e+01
181	1.222495525171317e+01	1.230268770812382e+01
197	1.191754655610859e+01	1.202264434617413e+01
384	1.160320222790452e+01	1.174897554939530e+01
389	1.027751608680940e+01	1.047128548050900e+01
401	9.589350933933069e+00	9.772372209558107e+00
406	9.449029175890892e+00	9.549925860214358e+00
419	7.865866606544175e+00	7.943282347242816e+00
437	7.650360873055092e+00	7.762471166286917e+00
842	7.541946837030320e+00	7.585775750291837e+00
13051	7.541946837030320e+00	7.585775750291837e+00
