%
% index = 3810, name = bbob_f013_i02_d20__bbob_f013_i04_d20
% instance = 1, reference value = 5.550099139328580e-01
% function evaluation | indicator value | target hit
1	2.889338217415662e+01	2.951209226666386e+01
3	2.415062355562319e+01	2.454708915685030e+01
4	2.209602848056401e+01	2.238721138568340e+01
11	2.050027344240443e+01	2.089296130854040e+01
35	1.536615437341814e+01	1.548816618912481e+01
54	1.278985164740906e+01	1.288249551693134e+01
56	1.138625549429522e+01	1.148153621496883e+01
59	1.091013900736485e+01	1.096478196143185e+01
74	1.036616643973189e+01	1.047128548050900e+01
93	7.612027303816504e+00	7.762471166286917e+00
514	6.986385538821874e+00	7.079457843841379e+00
762	6.455983582817883e+00	6.456542290346556e+00
4105	6.309381987149103e+00	6.309573444801933e+00
27931	6.299463415792116e+00	6.309573444801933e+00
