%
% index = 2850, name = bbob_f006_i02_d10__bbob_f020_i04_d10
% instance = 1, reference value = 9.996238610393340e-01
% function evaluation | indicator value | target hit
1	2.420403832950740e+03	2.454708915685031e+03
13	1.578296406112241e+03	1.584893192461114e+03
30	1.516457262390579e+03	1.548816618912481e+03
41	5.783571884451502e+02	5.888436553555890e+02
42	5.640849066457598e+02	5.754399373371566e+02
51	3.933611126504937e+02	3.981071705534973e+02
98	2.753737466310835e+02	2.754228703338166e+02
393	1.927562001270153e+02	1.949844599758046e+02
672	1.740772482910357e+02	1.778279410038923e+02
945	1.719814480912737e+02	1.737800828749376e+02
950	1.637579453637222e+02	1.659586907437561e+02
959	1.560557599805916e+02	1.584893192461114e+02
1250	1.537692395202788e+02	1.548816618912481e+02
1268	1.503907965583696e+02	1.513561248436209e+02
1832	1.465928617976493e+02	1.479108388168207e+02
1837	1.405426270933141e+02	1.412537544622754e+02
2124	1.378711351731132e+02	1.380384264602885e+02
2588	1.324302477145302e+02	1.348962882591653e+02
2840	1.292455555303652e+02	1.318256738556407e+02
2858	1.285350022992984e+02	1.288249551693134e+02
3135	1.258908652014755e+02	1.258925411794168e+02
6603	1.245437482636806e+02	1.258925411794168e+02
