%
% index = 4080, name = bbob_f020_i02_d20__bbob_f020_i04_d20
% instance = 1, reference value = 9.936205880325580e-01
% function evaluation | indicator value | target hit
1	5.815519665765272e+02	5.888436553555890e+02
2	4.803596103955380e+02	4.897788193684461e+02
27	3.926716710354592e+02	3.981071705534973e+02
36	2.346714532249606e+02	2.398832919019490e+02
38	1.864220722180597e+02	1.905460717963246e+02
98	6.442531767595476e+01	6.456542290346556e+01
218	6.239866339863715e+01	6.309573444801933e+01
332	5.369053717626227e+01	5.370317963702527e+01
394	5.198869317956096e+01	5.248074602497726e+01
454	5.084410757301330e+01	5.128613839913648e+01
802	4.995946715843704e+01	5.011872336272722e+01
1300	4.897647668999901e+01	4.897788193684461e+01
6231	4.817411011635210e+01	4.897788193684461e+01
