%
% index = 1335, name = bbob_f013_i02_d03__bbob_f013_i04_d03
% instance = 1, reference value = 5.340556198217660e-01
% function evaluation | indicator value | target hit
1	1.065963511177537e+02	1.071519305237606e+02
2	4.020810518413653e+01	4.073802778041128e+01
9	2.974468290408520e+01	3.019951720402016e+01
21	1.586256738871720e+01	1.621810097358930e+01
30	1.465913737711872e+01	1.479108388168207e+01
42	6.690637160486296e+00	6.760829753919817e+00
98	6.408427064668465e+00	6.456542290346556e+00
136	5.303870617922399e-01	5.370317963702527e-01
274	3.340482998223331e-01	3.388441561392025e-01
290	2.567774133681952e-01	2.570395782768864e-01
324	1.741211635562301e-01	1.778279410038923e-01
330	1.600973770224505e-01	1.621810097358930e-01
338	1.583085450679245e-01	1.584893192461113e-01
430	1.390626781016556e-01	1.412537544622754e-01
484	1.374096978418994e-01	1.380384264602885e-01
492	1.335259699176296e-01	1.348962882591654e-01
544	1.315668417978405e-01	1.318256738556407e-01
582	1.233739212880883e-01	1.258925411794167e-01
608	1.192578669842336e-01	1.202264434617413e-01
612	1.140336025986487e-01	1.148153621496883e-01
642	1.077348698170298e-01	1.096478196143185e-01
668	9.726435017239238e-02	9.772372209558107e-02
670	9.369419859016143e-02	9.549925860214359e-02
672	8.935927256256115e-02	9.120108393559097e-02
674	8.825079548339287e-02	8.912509381337455e-02
678	8.676611242124260e-02	8.709635899560805e-02
724	8.480731905729494e-02	8.511380382023763e-02
738	8.161358929245177e-02	8.317637711026708e-02
744	8.094051641563471e-02	8.128305161640990e-02
788	7.881795981774642e-02	7.943282347242814e-02
792	7.528833063401236e-02	7.585775750291836e-02
798	7.378921556713719e-02	7.413102413009177e-02
858	7.218131020044949e-02	7.244359600749903e-02
916	7.023919241313181e-02	7.079457843841380e-02
932	6.884596138706739e-02	6.918309709189366e-02
976	6.735473350695931e-02	6.760829753919818e-02
994	6.602559880749559e-02	6.606934480075961e-02
1054	6.407351860978450e-02	6.456542290346556e-02
1106	6.193885872146843e-02	6.309573444801933e-02
1114	6.160118532996428e-02	6.165950018614822e-02
1164	5.847339515966216e-02	5.888436553555890e-02
1224	5.713803494303321e-02	5.754399373371569e-02
1226	5.547536468479064e-02	5.623413251903491e-02
1236	5.494582494006728e-02	5.495408738576246e-02
1286	5.367051021899943e-02	5.370317963702527e-02
1288	5.211892823576125e-02	5.248074602497726e-02
1300	5.120475995191232e-02	5.128613839913648e-02
1352	4.993959813360282e-02	5.011872336272722e-02
1412	4.846331828680078e-02	4.897788193684462e-02
1418	4.666835077854431e-02	4.677351412871981e-02
1470	4.556922520920542e-02	4.570881896148749e-02
1484	4.447671500435835e-02	4.466835921509630e-02
1536	4.237562067024786e-02	4.265795188015926e-02
1538	4.156446257689012e-02	4.168693834703355e-02
1542	4.056669657871115e-02	4.073802778041128e-02
1598	3.926789460012015e-02	3.981071705534973e-02
1602	3.837102434201345e-02	3.890451449942807e-02
1604	3.792343393996983e-02	3.801893963205612e-02
1660	3.699320468859557e-02	3.715352290971726e-02
1718	3.623682822319924e-02	3.630780547701014e-02
1724	3.507799297846576e-02	3.548133892335755e-02
1782	3.435176081119024e-02	3.467368504525317e-02
1784	3.376236899411267e-02	3.388441561392026e-02
1846	3.199833103060012e-02	3.235936569296283e-02
1852	3.156239407869144e-02	3.162277660168379e-02
1912	2.984571993163865e-02	3.019951720402016e-02
1938	2.950951199243612e-02	2.951209226666385e-02
1974	2.882954539541238e-02	2.884031503126606e-02
2032	2.804622304417681e-02	2.818382931264454e-02
2086	2.753632550191110e-02	2.754228703338166e-02
2098	2.689705103466744e-02	2.691534803926915e-02
2156	2.623867286455683e-02	2.630267991895381e-02
2216	2.565868020231832e-02	2.570395782768863e-02
2276	2.511530077169633e-02	2.511886431509579e-02
2340	2.452451470891337e-02	2.454708915685030e-02
2468	2.368196241791187e-02	2.398832919019490e-02
2526	2.336971181803238e-02	2.344228815319923e-02
2652	2.283737624945981e-02	2.290867652767773e-02
2718	2.235838017141212e-02	2.238721138568340e-02
2774	2.176835387863285e-02	2.187761623949553e-02
2828	2.137308035851282e-02	2.137962089502233e-02
2900	2.085847278582398e-02	2.089296130854040e-02
2960	2.040966998986760e-02	2.041737944669529e-02
3082	1.994347507210581e-02	1.995262314968880e-02
3092	1.946580970816925e-02	1.949844599758046e-02
3216	1.904707396159033e-02	1.905460717963247e-02
3586	1.857072006001348e-02	1.862087136662868e-02
3824	1.816168112717187e-02	1.819700858609984e-02
3896	1.778048411576760e-02	1.778279410038923e-02
4030	1.737686328474697e-02	1.737800828749375e-02
4204	1.690338595595120e-02	1.698243652461744e-02
4326	1.659138437612784e-02	1.659586907437561e-02
4396	1.619235385967288e-02	1.621810097358930e-02
4508	1.576338777304820e-02	1.584893192461113e-02
4560	1.544435443339154e-02	1.548816618912481e-02
4572	1.507468596258654e-02	1.513561248436208e-02
4576	1.384940509254506e-02	1.412537544622754e-02
4578	1.362166885438409e-02	1.380384264602885e-02
4638	1.348189462638960e-02	1.348962882591653e-02
4696	1.317666743983537e-02	1.318256738556407e-02
4702	1.281733097629711e-02	1.288249551693134e-02
4764	1.253346910797448e-02	1.258925411794167e-02
4836	1.230234208644765e-02	1.230268770812382e-02
4950	1.201873170474133e-02	1.202264434617413e-02
5136	1.169971964806260e-02	1.174897554939530e-02
5312	1.148147461934823e-02	1.148153621496883e-02
5506	1.121386181897732e-02	1.122018454301964e-02
5572	1.095964403463945e-02	1.096478196143185e-02
5754	1.071282656389239e-02	1.071519305237606e-02
6028	1.046670832753971e-02	1.047128548050900e-02
6096	1.019057712760707e-02	1.023292992280754e-02
6192	9.895105870981746e-03	1.000000000000000e-02
6216	9.765132760135131e-03	9.772372209558112e-03
6231	9.762693033736114e-03	9.772372209558112e-03
