%
% index = 2535, name = bbob_f001_i02_d10__bbob_f013_i04_d10
% instance = 1, reference value = 7.140816019789280e-01
% function evaluation | indicator value | target hit
1	1.553007955924003e+02	1.584893192461114e+02
3	1.023764061693445e+02	1.047128548050900e+02
17	1.015896456982243e+02	1.023292992280754e+02
23	9.902907707536092e+01	1.000000000000000e+02
24	9.126932843951353e+01	9.332543007969910e+01
41	6.790821013426452e+01	6.918309709189366e+01
48	2.916924311161083e+01	2.951209226666386e+01
69	2.513400154243511e+01	2.570395782768863e+01
90	2.443996486508663e+01	2.454708915685030e+01
134	2.232187768585815e+01	2.238721138568340e+01
187	1.948807546038636e+01	1.949844599758045e+01
520	1.557036925982669e+01	1.584893192461113e+01
550	1.426921746424021e+01	1.445439770745927e+01
1077	1.411335839980014e+01	1.412537544622754e+01
13051	1.410928338105110e+01	1.412537544622754e+01
