%
% index = 3615, name = bbob_f006_i02_d20__bbob_f013_i04_d20
% instance = 1, reference value = 7.712342696939430e-01
% function evaluation | indicator value | target hit
1	2.953906226806989e+02	3.019951720402016e+02
2	1.318844343882804e+02	1.348962882591653e+02
5	9.624975965331873e+01	9.772372209558107e+01
7	7.020356413451211e+01	7.079457843841381e+01
15	5.999931656812270e+01	6.025595860743578e+01
22	3.204279478247945e+01	3.235936569296283e+01
74	2.848676265763431e+01	2.884031503126606e+01
132	1.821244951802783e+01	1.862087136662868e+01
176	1.496324182712742e+01	1.513561248436208e+01
206	1.093541185790804e+01	1.096478196143185e+01
230	9.698121413591249e+00	9.772372209558107e+00
250	9.115124875420529e+00	9.120108393559097e+00
308	7.088127875507482e+00	7.244359600749901e+00
430	7.078068103960018e+00	7.079457843841379e+00
452	6.780931955193535e+00	6.918309709189364e+00
520	6.599764138717131e+00	6.606934480075959e+00
6231	6.599764138717131e+00	6.606934480075959e+00
