%
% index = 3870, name = bbob_f013_i02_d20__bbob_f020_i04_d20
% instance = 1, reference value = 8.671193255622940e-01
% function evaluation | indicator value | target hit
1	5.314898209762957e+02	5.370317963702527e+02
6	5.174853621341827e+02	5.248074602497728e+02
12	4.659192656101895e+02	4.677351412871981e+02
31	4.275160645336942e+02	4.365158322401661e+02
36	1.289808626994795e+02	1.318256738556407e+02
61	1.214563790010918e+02	1.230268770812381e+02
104	1.024482016734888e+02	1.047128548050900e+02
145	9.583672799475809e+01	9.772372209558107e+01
169	8.439281411722973e+01	8.511380382023764e+01
178	6.945527950520989e+01	7.079457843841381e+01
196	6.716268009192727e+01	6.760829753919819e+01
206	6.586700885258888e+01	6.606934480075961e+01
368	6.342040126245999e+01	6.456542290346556e+01
377	6.239725289007779e+01	6.309573444801933e+01
387	5.859651487692199e+01	5.888436553555890e+01
406	3.623856547265056e+01	3.630780547701014e+01
644	2.903206411814367e+01	2.951209226666386e+01
668	2.876261943535227e+01	2.884031503126606e+01
691	2.696884195137472e+01	2.754228703338166e+01
701	2.670984079986480e+01	2.691534803926915e+01
716	2.599213532874548e+01	2.630267991895381e+01
732	2.474345590627857e+01	2.511886431509580e+01
957	2.424349011890713e+01	2.454708915685030e+01
972	2.398723475869793e+01	2.398832919019490e+01
980	2.335433765908553e+01	2.344228815319923e+01
1140	2.282390612560082e+01	2.290867652767773e+01
27931	2.256560449792605e+01	2.290867652767773e+01
