%
% index = 1365, name = bbob_f013_i02_d03__bbob_f015_i04_d03
% instance = 1, reference value = 8.076591035831709e-01
% function evaluation | indicator value | target hit
1	8.575248807318311e+04	8.709635899560814e+04
2	1.782920315426604e+01	1.819700858609983e+01
4	5.376956733423308e+00	5.495408738576246e+00
44	3.939405392368671e+00	3.981071705534972e+00
83	3.398052420384171e+00	3.467368504525317e+00
210	2.657820423777587e+00	2.691534803926916e+00
213	2.509876547823415e+00	2.511886431509580e+00
217	2.272190946394124e+00	2.290867652767773e+00
226	2.074744510085480e+00	2.089296130854040e+00
291	8.199965542766708e-01	8.317637711026710e-01
297	5.620992389776575e-01	5.623413251903491e-01
455	5.428255194632581e-01	5.495408738576245e-01
488	5.360759861674309e-01	5.370317963702527e-01
512	5.204334996581809e-01	5.248074602497725e-01
520	4.381950832849877e-01	4.466835921509631e-01
536	4.075803300871109e-01	4.168693834703354e-01
542	3.914376400328364e-01	3.981071705534972e-01
558	3.799979556039300e-01	3.801893963205612e-01
771	3.572136736378371e-01	3.630780547701014e-01
772	2.863074983070161e-01	2.884031503126606e-01
797	2.512883544839479e-01	2.570395782768864e-01
800	2.406975275657219e-01	2.454708915685030e-01
801	2.347653598307242e-01	2.398832919019490e-01
803	2.306757958668005e-01	2.344228815319922e-01
808	2.290100195934482e-01	2.290867652767773e-01
867	2.230236031252683e-01	2.238721138568339e-01
1025	1.957190420363062e-01	1.995262314968880e-01
1026	1.940971913215291e-01	1.949844599758045e-01
1027	1.898666280988297e-01	1.905460717963247e-01
1031	1.760627634240387e-01	1.778279410038923e-01
1033	1.713927088419379e-01	1.737800828749375e-01
1036	1.679548096182116e-01	1.698243652461744e-01
1045	1.643927527515839e-01	1.659586907437560e-01
1046	1.613265293554016e-01	1.621810097358930e-01
1050	1.429406744140265e-01	1.445439770745928e-01
1052	1.409614482094550e-01	1.412537544622754e-01
1058	1.374789753869858e-01	1.380384264602885e-01
1060	1.125760097938732e-01	1.148153621496883e-01
1063	1.117089022594199e-01	1.122018454301964e-01
1067	9.842720089402823e-02	1.000000000000000e-01
1078	8.655208712351226e-02	8.709635899560805e-02
1081	7.503566444983256e-02	7.585775750291836e-02
1083	7.400528690373043e-02	7.413102413009177e-02
1085	7.218119297019887e-02	7.244359600749903e-02
1098	6.952005755297097e-02	7.079457843841380e-02
1107	6.107178221947618e-02	6.165950018614822e-02
1135	5.917410217537877e-02	6.025595860743578e-02
1142	5.882834718967789e-02	5.888436553555890e-02
1319	5.693995937496432e-02	5.754399373371569e-02
1328	5.595941351528044e-02	5.623413251903491e-02
1358	5.485669928619108e-02	5.495408738576246e-02
1360	5.198683904544321e-02	5.248074602497726e-02
1364	5.101051938338541e-02	5.128613839913648e-02
1373	4.965073090132677e-02	5.011872336272722e-02
1374	4.834032239920338e-02	4.897788193684462e-02
1382	4.693924308869601e-02	4.786300923226382e-02
1388	4.653327163003995e-02	4.677351412871981e-02
1407	4.563224132122901e-02	4.570881896148749e-02
1511	4.464543447832503e-02	4.466835921509630e-02
1533	4.326556851807029e-02	4.365158322401658e-02
1542	4.264585620187755e-02	4.265795188015926e-02
1582	4.155126470471715e-02	4.168693834703355e-02
1603	4.037112654030806e-02	4.073802778041128e-02
1611	3.980301771961725e-02	3.981071705534973e-02
1625	3.877354328373406e-02	3.890451449942807e-02
1641	3.793125839664002e-02	3.801893963205612e-02
1657	3.709371693147179e-02	3.715352290971726e-02
1662	3.594218956817474e-02	3.630780547701014e-02
1681	3.527487374439464e-02	3.548133892335755e-02
1868	3.465942452239257e-02	3.467368504525317e-02
1881	3.352831067750850e-02	3.388441561392026e-02
1886	3.301366816895690e-02	3.311311214825911e-02
1889	3.232721318718745e-02	3.235936569296283e-02
1896	3.153959705656550e-02	3.162277660168379e-02
1908	3.088459839554436e-02	3.090295432513590e-02
1924	3.014459624056165e-02	3.019951720402016e-02
2024	2.904656386005922e-02	2.951209226666385e-02
2031	2.883562328643707e-02	2.884031503126606e-02
2147	2.812373375713417e-02	2.818382931264454e-02
2174	2.723613418812054e-02	2.754228703338166e-02
2179	2.686026173528211e-02	2.691534803926915e-02
2188	2.625530930282494e-02	2.630267991895381e-02
2292	2.531423809885525e-02	2.570395782768863e-02
2411	2.508177503649855e-02	2.511886431509579e-02
2449	2.447872929903239e-02	2.454708915685030e-02
2466	2.388448590411607e-02	2.398832919019490e-02
2727	2.342753868450209e-02	2.344228815319923e-02
3275	2.287762922210090e-02	2.290867652767773e-02
3848	2.236846542729920e-02	2.238721138568340e-02
4967	2.186859666352869e-02	2.187761623949553e-02
13051	2.169129759306920e-02	2.187761623949553e-02
