%
% index = 3045, name = bbob_f013_i02_d10__bbob_f020_i04_d10
% instance = 1, reference value = 9.802115508278310e-01
% function evaluation | indicator value | target hit
1	2.954507413062003e+03	3.019951720402016e+03
2	9.964551608773070e+02	1.000000000000000e+03
46	8.623567967512506e+02	8.709635899560806e+02
82	4.525774130500259e+02	4.570881896148752e+02
84	3.379983703182299e+02	3.388441561392024e+02
182	3.133856648925282e+02	3.162277660168380e+02
188	1.648031325641729e+02	1.659586907437561e+02
236	1.384677426736008e+02	1.412537544622754e+02
298	1.302711491409485e+02	1.318256738556407e+02
302	1.085468792624695e+02	1.096478196143185e+02
308	1.017594765606989e+02	1.023292992280754e+02
324	2.126426344942804e+01	2.137962089502232e+01
880	2.084389445479098e+01	2.089296130854040e+01
3999	2.069919043932866e+01	2.089296130854040e+01
