%
% index = 2985, name = bbob_f013_i02_d10__bbob_f013_i04_d10
% instance = 1, reference value = 5.808933329056600e-01
% function evaluation | indicator value | target hit
1	1.793643270292248e+01	1.819700858609983e+01
25	1.422239919120915e+01	1.445439770745927e+01
41	1.405604446947250e+01	1.412537544622754e+01
54	1.326841475081255e+01	1.348962882591653e+01
56	7.117018734117994e+00	7.244359600749901e+00
131	6.514298647156037e+00	6.606934480075959e+00
167	6.394326007853211e+00	6.456542290346556e+00
288	5.500844966206776e+00	5.623413251903491e+00
392	5.434705978839965e+00	5.495408738576246e+00
518	5.101665310574930e+00	5.128613839913648e+00
557	4.961503378751991e+00	5.011872336272722e+00
576	4.893041722970882e+00	4.897788193684462e+00
791	4.758546396715454e+00	4.786300923226384e+00
804	4.666343687522049e+00	4.677351412871983e+00
13051	4.599510986777203e+00	4.677351412871983e+00
