%
% index = 3045, name = bbob_f013_i02_d10__bbob_f020_i04_d10
% instance = 1, reference value = 9.802115508278310e-01
% function evaluation | indicator value | target hit
1	2.696845661851048e+03	2.754228703338166e+03
5	1.623932601054221e+03	1.659586907437561e+03
7	8.911517798043207e+02	8.912509381337459e+02
70	3.667004234630299e+02	3.715352290971724e+02
75	1.980624982896107e+02	1.995262314968879e+02
394	1.812388036186505e+02	1.819700858609983e+02
402	1.111255174547835e+02	1.122018454301963e+02
410	1.009644438533492e+02	1.023292992280754e+02
416	9.774429528388616e+01	1.000000000000000e+02
452	9.505409450962158e+01	9.549925860214358e+01
469	8.345059221477125e+01	8.511380382023764e+01
485	8.183585606919064e+01	8.317637711026708e+01
501	7.376393735636036e+01	7.413102413009177e+01
538	7.138009212196862e+01	7.244359600749902e+01
554	6.323295016894894e+01	6.456542290346556e+01
809	6.235463260316406e+01	6.309573444801933e+01
1303	6.148857125418634e+01	6.165950018614822e+01
2061	5.883498478965635e+01	5.888436553555890e+01
2104	5.675141536049292e+01	5.754399373371569e+01
2113	5.607282751738333e+01	5.623413251903491e+01
2601	5.447594360668433e+01	5.495408738576246e+01
2620	5.336243585193966e+01	5.370317963702527e+01
2673	5.209178558665697e+01	5.248074602497726e+01
2698	5.104583728343525e+01	5.128613839913648e+01
3022	5.009874496717626e+01	5.011872336272722e+01
4434	4.897525463727746e+01	4.897788193684461e+01
13051	4.835164201563747e+01	4.897788193684461e+01
