%
% index = 3810, name = bbob_f013_i02_d20__bbob_f013_i04_d20
% instance = 1, reference value = 5.550099139328580e-01
% function evaluation | indicator value | target hit
1	3.702267382995904e+01	3.715352290971726e+01
2	2.623337429125484e+01	2.630267991895381e+01
8	2.546756157637727e+01	2.570395782768863e+01
9	1.865357579381041e+01	1.905460717963247e+01
62	1.801270470442392e+01	1.819700858609983e+01
79	1.350908795533899e+01	1.380384264602885e+01
102	1.232507795393319e+01	1.258925411794167e+01
111	1.098932350036639e+01	1.122018454301964e+01
131	1.043858437445430e+01	1.047128548050900e+01
158	9.680981841542730e+00	9.772372209558107e+00
180	8.973975205177110e+00	9.120108393559097e+00
215	8.533366456274535e+00	8.709635899560805e+00
402	8.034383622820382e+00	8.128305161640993e+00
422	7.886248836787074e+00	7.943282347242816e+00
441	7.742858739324854e+00	7.762471166286917e+00
492	7.519002332897873e+00	7.585775750291837e+00
516	7.370993041563276e+00	7.413102413009175e+00
572	7.234991606263137e+00	7.244359600749901e+00
6603	7.092286404292371e+00	7.244359600749901e+00
