%
% index = 2595, name = bbob_f001_i02_d10__bbob_f020_i04_d10
% instance = 1, reference value = 9.408016916179860e-01
% function evaluation | indicator value | target hit
1	6.095625552440071e+02	6.165950018614822e+02
2	3.287966671174828e+02	3.311311214825911e+02
7	2.535617668290601e+02	2.570395782768865e+02
10	8.547235062136980e+01	8.709635899560806e+01
48	7.742007913732128e+01	7.762471166286916e+01
70	6.492780727491467e+01	6.606934480075961e+01
110	4.422214029141564e+01	4.466835921509630e+01
126	2.910147896442031e+01	2.951209226666386e+01
178	1.268372050224403e+01	1.288249551693134e+01
238	1.160368360899373e+01	1.174897554939530e+01
256	1.077379004526682e+01	1.096478196143185e+01
274	1.048049528939085e+01	1.071519305237607e+01
276	1.043350591762581e+01	1.047128548050900e+01
6231	1.031715544557751e+01	1.047128548050900e+01
