%
% index = 945, name = bbob_f001_i02_d03__bbob_f020_i04_d03
% instance = 1, reference value = 9.041974231174710e-01
% function evaluation | indicator value | target hit
1	1.132310754183673e+03	1.148153621496883e+03
4	6.728815142623376e+02	6.760829753919819e+02
11	5.409136260050453e+02	5.495408738576248e+02
15	3.359837637194445e+02	3.388441561392024e+02
17	3.248697201015190e+02	3.311311214825911e+02
22	3.077533958141322e+02	3.090295432513592e+02
30	2.677794703902038e+02	2.691534803926917e+02
68	2.402711548289083e+02	2.454708915685031e+02
76	4.461421255702355e+01	4.466835921509630e+01
294	3.476460912743298e+01	3.548133892335755e+01
302	3.004416433346213e+01	3.019951720402016e+01
354	2.179626176426878e+01	2.187761623949553e+01
474	1.713228383481580e+01	1.737800828749375e+01
480	1.677120664966705e+01	1.698243652461744e+01
556	1.311222347738889e+01	1.318256738556407e+01
558	1.244324039619195e+01	1.258925411794167e+01
560	1.186353815923085e+01	1.202264434617413e+01
572	1.154313772964738e+01	1.174897554939530e+01
574	1.145183634794245e+01	1.148153621496883e+01
636	1.100251487263206e+01	1.122018454301964e+01
674	1.095255308737860e+01	1.096478196143185e+01
3999	1.074385053054580e+01	1.096478196143185e+01
